"","data_name","no_have_data","fm_use_str","name","obs","r.squared","adj.r.squared","sigma","statistic","p.value","df","df.residual"
"1","school_type_prime",FALSE,"zgakuryoku ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","school_type_prime_t6_ra_ols_zgakuryoku",396366,0.044582204890808,0.0445629209060143,0.88709610043835,2311.87720628106,0,396357,396357
"2","school_type_junior",FALSE,"zgakuryoku ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","school_type_junior_t6_ra_ols_zgakuryoku",400025,0.0423803759020704,0.0423612242756534,0.892773543320442,2212.88651833081,0,400016,400016
"3","all",FALSE,"zgakuryoku ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","all_t6_ra_ols_zgakuryoku",796391,0.0424821585772225,0.0424689328439276,0.890415974226,3212.08341571796,0,796379,796379
"4","school_type_prime",FALSE,"zkokugo_level ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","school_type_prime_t6_ra_ols_zkokugo_level",396382,0.0392686391778276,0.0392492487277046,0.977119012125108,2025.15356419625,0,396373,396373
"5","school_type_junior",FALSE,"zkokugo_level ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","school_type_junior_t6_ra_ols_zkokugo_level",400060,0.0277715105897086,0.0277520684987871,0.984654052562784,1428.42200983824,0,400051,400051
"6","all",FALSE,"zkokugo_level ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","all_t6_ra_ols_zkokugo_level",796442,0.0331058213529285,0.0330924669640116,0.981107905280818,2479.02180764978,0,796430,796430
"7","school_type_prime",FALSE,"zmath_level ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","school_type_prime_t6_ra_ols_zmath_level",396409,0.035908834646939,0.0358893777112103,0.980715299395287,1845.55446694113,0,396400,396400
"8","school_type_junior",FALSE,"zmath_level ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","school_type_junior_t6_ra_ols_zmath_level",400113,0.0488315765773078,0.0488125581536294,0.974582486601226,2567.59326657714,0,400104,400104
"9","all",FALSE,"zmath_level ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","all_t6_ra_ols_zmath_level",796522,0.04058970260578,0.0405764529124035,0.978566175885455,3063.4446739494,0,796510,796510
"10","school_type_junior",FALSE,"zeng_level ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","school_type_junior_t6_ra_ols_zeng_level",269310,0.0696885415144889,0.0696643598143553,0.96425045077763,2881.87104832409,0,269302,269302
"11","all",FALSE,"zeng_level ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","all_t6_ra_ols_zeng_level",269310,0.0696885415144889,0.0696643598143553,0.96425045077763,2881.87104832409,0,269302,269302
"12","school_type_prime",FALSE,"zstrategy ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","school_type_prime_t6_ra_ols_zstrategy",363128,0.19231441205458,0.192296617654663,0.897026975021371,10807.5806404581,0,363119,363119
"13","school_type_junior",FALSE,"zstrategy ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","school_type_junior_t6_ra_ols_zstrategy",380300,0.201428471016455,0.201411671848892,0.892174067364116,11990.3840625304,0,380291,380291
"14","all",FALSE,"zstrategy ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","all_t6_ra_ols_zstrategy",743428,0.195450082958491,0.195438178386774,0.895394867428534,16418.069260046,0,743416,743416
"15","school_type_prime",FALSE,"zselfcontrol ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","school_type_prime_t6_ra_ols_zselfcontrol",131674,0.119692482863382,0.119652367685677,0.936150316508452,2983.72061928882,0,131667,131667
"16","school_type_junior",FALSE,"zselfcontrol ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","school_type_junior_t6_ra_ols_zselfcontrol",133137,0.106902202023737,0.106861951240383,0.94407296219827,2655.90364005472,0,133130,133130
"17","all",FALSE,"zselfcontrol ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","all_t6_ra_ols_zselfcontrol",264811,0.112525149435089,0.112494986128851,0.940522110868327,3730.53101499712,0,264801,264801
"18","school_type_prime",FALSE,"zselfefficacy ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","school_type_prime_t6_ra_ols_zselfefficacy",86960,0.161062130465142,0.161013890138674,0.913585723507955,3338.74462008276,0,86954,86954
"19","school_type_junior",FALSE,"zselfefficacy ~ studytime + cram + teacherrelation + zfriendrelation +      as.factor(year) + as.factor(grade) | 0 | 0 | school_id","school_type_junior_t6_ra_ols_zselfefficacy",132050,0.128092531448741,0.128052912197351,0.932864974132085,3233.08813150963,0,132043,132043
