"","data_name","no_have_data","fm_use_str","name","obs","delta_name","delta_est","delta_se","delta_pvalue","r.squared","adj.r.squared","sigma","statistic","p.value","df","df.residual","is_adopt","tag_adopt","p_value_adjust","p_value_adjust_num"
"1","grade_6",FALSE,"zkokugo_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) | as.factor(school_id) |      0 | school_id","grade_6_t3_sex_nl_zkokugo_level",138050,"sex_nl",0.00846685092063414,0.0165832712129723,0.609655137700545,0.126135960652781,0.121477626456707,0.937194423531982,27.0774820662528,0,137317,137317,TRUE,"grade_sex",0.925128440944362,29
"2","grade_5",FALSE,"zkokugo_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) | as.factor(school_id) |      0 | school_id","grade_5_t3_sex_nl_zkokugo_level",135713,"sex_nl",0.0134644254474727,0.0161688986135104,0.404993584423991,0.125037457890523,0.120299030865371,0.937321581019411,26.387967404967,0,134981,134981,TRUE,"grade_sex",0.925128440944362,29
"3","grade_4",FALSE,"zkokugo_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) | as.factor(school_id) |      0 | school_id","grade_4_t3_sex_nl_zkokugo_level",133912,"sex_nl",0.011497089993189,0.0157466333424623,0.465310702312031,0.126061410585054,0.121271123905476,0.936124024981928,26.3160472467073,0,133181,133181,TRUE,"grade_sex",0.925128440944362,29
"4","grade_9",FALSE,"zkokugo_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) | as.factor(school_id) |      0 | school_id","grade_9_t3_sex_nl_zkokugo_level",137481,"sex_nl",-0.00418578191831865,0.0165963006247787,0.800877401332143,0.0912891168343083,0.0887970284045739,0.954274120692529,36.6315720361653,0,137104,137104,TRUE,"grade_sex",0.925128440944362,29
"5","grade_7",FALSE,"zkokugo_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) | as.factor(school_id) |      0 | school_id","grade_7_t3_sex_nl_zkokugo_level",132461,"sex_nl",-0.0175680446397996,0.0180685990924362,0.330902817308506,0.102050993900821,0.0994811908670583,0.948389428869914,39.7116014574024,0,132082,132082,TRUE,"grade_sex",0.925128440944362,29
"6","grade_8",FALSE,"zkokugo_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) | as.factor(school_id) |      0 | school_id","grade_8_t3_sex_nl_zkokugo_level",134434,"sex_nl",-0.00845182949773036,0.018837713302855,0.653673073791373,0.0928379118225681,0.0902799522587243,0.953511529808406,36.2937370609038,0,134055,134055,TRUE,"grade_sex",0.925128440944362,29
"7","all",FALSE,"zkokugo_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) + as.factor(sex) * as.factor(grade) | as.factor(school_id) |      0 | school_id","all_t3_sex_nl_zkokugo_level",812051,"sex_nl",0.00108357187454828,0.00918222387943619,0.906061664348323,0.105281173445933,0.104063127380578,0.946016647500259,86.4344760353668,0,810946,810946,TRUE,"all_sex",0.965145071354136,6
"8","grade_6",FALSE,"zmath_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) | as.factor(school_id) |      0 | school_id","grade_6_t3_sex_nl_zmath_level",138057,"sex_nl",0.0076441932640372,0.0171767753974006,0.656297531094101,0.0837104434360017,0.0788261992004359,0.959806350459982,17.1388733647762,0,137324,137324,TRUE,"grade_sex",0.925128440944362,29
"9","grade_5",FALSE,"zmath_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) | as.factor(school_id) |      0 | school_id","grade_5_t3_sex_nl_zmath_level",135727,"sex_nl",0.00491823343081104,0.0157638704857526,0.75504506284922,0.0827319105800902,0.077764889776609,0.960107172078154,16.656244025011,0,134995,134995,TRUE,"grade_sex",0.925128440944362,29
"10","grade_4",FALSE,"zmath_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) | as.factor(school_id) |      0 | school_id","grade_4_t3_sex_nl_zmath_level",133921,"sex_nl",-0.0077685324182367,0.0168746923426649,0.645253628353623,0.0806462898865093,0.0756074115294041,0.960708813624552,16.0048098348695,0,133190,133190,TRUE,"grade_sex",0.925128440944362,29
"11","grade_9",FALSE,"zmath_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) | as.factor(school_id) |      0 | school_id","grade_9_t3_sex_nl_zmath_level",137506,"sex_nl",-0.00234751165969477,0.017458175228179,0.893034970461188,0.0636653480419011,0.0610979711257401,0.968682845910225,24.797818988378,0,137129,137129,TRUE,"grade_sex",0.925128440944362,29
"12","grade_7",FALSE,"zmath_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) | as.factor(school_id) |      0 | school_id","grade_7_t3_sex_nl_zmath_level",132467,"sex_nl",0.00378917902552472,0.0172811012785521,0.826441895696104,0.0651229328503994,0.0624475684616392,0.967860622003736,24.3417057967867,0,132088,132088,TRUE,"grade_sex",0.925128440944362,29
"13","grade_8",FALSE,"zmath_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) | as.factor(school_id) |      0 | school_id","grade_8_t3_sex_nl_zmath_level",134458,"sex_nl",-0.00341991754412344,0.0169312590309184,0.839925810166882,0.0669129097180305,0.0642823193934712,0.967352066313929,25.4364615779695,0,134079,134079,TRUE,"grade_sex",0.925128440944362,29
"14","all",FALSE,"zmath_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) + as.factor(sex) * as.factor(grade) | as.factor(school_id) |      0 | school_id","all_t3_sex_nl_zmath_level",812136,"sex_nl",0.000397451884121238,0.00909540883848119,0.965145071354136,0.0670926151024,0.065822713270131,0.966258523624066,52.8329146376005,0,811031,811031,TRUE,"all_sex",0.965145071354136,6
"15","grade_9",FALSE,"zeng_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) | as.factor(school_id) |      0 | school_id","grade_9_t3_sex_nl_zeng_level",137532,"sex_nl",-0.0105029527687771,0.0168248320023867,0.532461409224689,0.0847643312067855,0.0822552822368883,0.957948969433562,33.7834503127529,0,137155,137155,TRUE,"grade_sex",0.925128440944362,29
"16","grade_8",FALSE,"zeng_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) | as.factor(school_id) |      0 | school_id","grade_8_t3_sex_nl_zeng_level",134433,"sex_nl",-0.00166469351995453,0.0171946641777154,0.922873676137068,0.0873340025773151,0.0847673315763948,0.956637166811368,34.0261773113911,0,134055,134055,TRUE,"grade_sex",0.925128440944362,29
"17","all",FALSE,"zeng_level ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) + as.factor(sex) * as.factor(grade) | as.factor(school_id) |      0 | school_id","all_t3_sex_nl_zeng_level",271965,"sex_nl",-0.00635261224747172,0.0150874009601228,0.673715567106595,0.0841768348676171,0.0828987930774402,0.95761139410429,65.8639142433447,0,271585,271585,TRUE,"all_sex",0.965145071354136,6
"18","grade_6",FALSE,"zselfcontrol ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) | as.factor(school_id) |      0 | school_id","grade_6_t3_sex_nl_zselfcontrol",45940,"sex_nl",0.00390737492611291,0.0295180672607383,0.894689810622619,0.091859744974505,0.0773182533315003,0.960213297457947,6.31707855216454,0,45215,45215,TRUE,"grade_sex",0.925128440944362,29
"19","grade_5",FALSE,"zselfcontrol ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) | as.factor(school_id) |      0 | school_id","grade_5_t3_sex_nl_zselfcontrol",46082,"sex_nl",0.00716853474829576,0.0309112369222811,0.816610184012966,0.0867057676421004,0.072127532215879,0.962578373645051,5.94761746583857,0,45357,45357,TRUE,"grade_sex",0.925128440944362,29
"20","grade_4",FALSE,"zselfcontrol ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) | as.factor(school_id) |      0 | school_id","grade_4_t3_sex_nl_zselfcontrol",43119,"sex_nl",-0.0173691810602324,0.0304144657064478,0.567943454274642,0.0854800412056561,0.0699497244376026,0.964345534389027,5.50407583324332,0,42398,42398,TRUE,"grade_sex",0.925128440944362,29
"21","grade_9",FALSE,"zselfcontrol ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) | as.factor(school_id) |      0 | school_id","grade_9_t3_sex_nl_zselfcontrol",44392,"sex_nl",-0.0201109659548756,0.031055038892383,0.517249472709683,0.0543362893588953,0.0463662476358636,0.976474007077894,6.81756648799918,5.32878330739724e-306,44020,44020,TRUE,"grade_sex",0.925128440944362,29
"22","grade_7",FALSE,"zselfcontrol ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) | as.factor(school_id) |      0 | school_id","grade_7_t3_sex_nl_zselfcontrol",44705,"sex_nl",-0.0065436550356501,0.0303213208956939,0.829135576157888,0.0680442143860705,0.0602875506916632,0.969338690560686,8.77235588222461,0,44335,44335,TRUE,"grade_sex",0.925128440944362,29
"23","grade_8",FALSE,"zselfcontrol ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) | as.factor(school_id) |      0 | school_id","grade_8_t3_sex_nl_zselfcontrol",45115,"sex_nl",-0.00458654475921363,0.0308068094764973,0.881647632336021,0.0602186657490915,0.0524050084172482,0.973132259562393,7.70684753523541,0,44742,44742,TRUE,"grade_sex",0.925128440944362,29
"24","all",FALSE,"zselfcontrol ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) + as.factor(sex) *      as.factor(year) + as.factor(sex) * as.factor(grade) | as.factor(school_id) |      0 | school_id","all_t3_sex_nl_zselfcontrol",269353,"sex_nl",-0.00554514809313074,0.0175432043907739,0.751937804318043,0.0651705237727502,0.0613441399540653,0.968577272250764,17.0318835905875,0,268254,268254,TRUE,"all_sex",0.965145071354136,6
"25","grade_6",FALSE,"zselfefficacy ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) | as.factor(school_id) |      0 | school_id","grade_6_t3_sex_nl_zselfefficacy",44893,"sex_nl",0.0276465920288759,0.0301101887278568,0.358524308222258,0.076417688337678,0.0612783658951059,0.968716511847765,5.04762935247288,0,44168,44168,TRUE,"grade_sex",0.925128440944362,29
"26","grade_5",FALSE,"zselfefficacy ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) | as.factor(school_id) |      0 | school_id","grade_5_t3_sex_nl_zselfefficacy",43968,"sex_nl",0.0509696960941597,0.0294493766652573,0.0834952275635327,0.0711625579942365,0.0556769224282616,0.971523519540474,4.5953914962712,4.22370486119199e-311,43246,43246,TRUE,"grade_sex",0.925128440944362,29
"27","grade_9",FALSE,"zselfefficacy ~ as.factor(sex) * relative_age + as.factor(sex) *      I(relative_age^2) + as.factor(sex) * as.factor(book) | as.factor(school_id) |      0 | school_id","grade_9_t3_sex_nl_zselfefficacy",45473,"sex_nl",0.0312952812880966,0.0284411313526803,0.271178392819748,0.0528325802538343,0.0450200241530455,0.977286003817025,6.76252171149212,1.89010990120882e-303,45100,45100,TRUE,"grade_sex",0.925128440944362,29
