"","term","estimate","std.error","statistic","p.value","name"
"1","as.factor(attendance)1",-0.46410165243968,0.0586868359819788,-7.90810485305757,2.84854248378692e-15,"fm1_zgakuryoku"
"2","relative_age",0.0429706155084236,0.00894709167530872,4.80274675479291,1.58449955037029e-06,"fm1_zgakuryoku"
"3","I(relative_age^2)",-0.00140253648010762,0.000875347920804815,-1.60226173704519,0.109124816895202,"fm1_zgakuryoku"
"4","as.factor(attendance)1:relative_age",0.0231726290419515,0.0227305583230997,1.01944830006233,0.308011326170156,"fm1_zgakuryoku"
"5","as.factor(attendance)1:I(relative_age^2)",-0.00148351255358626,0.00206854265284962,-0.717177647530048,0.473278848246321,"fm1_zgakuryoku"
"6","as.factor(attendance)1",-0.475993296693927,0.0578401809710756,-8.22945725104074,2.08014560317119e-16,"fm2_zgakuryoku"
"7","relative_age",0.0591452662368621,0.00994409673640498,5.94777663619596,2.79603704900929e-09,"fm2_zgakuryoku"
"8","I(relative_age^2)",-0.00139727722757301,0.000872758804796769,-1.60098897873437,0.109406448383691,"fm2_zgakuryoku"
"9","as.factor(grade)5",NA,0,NA,NA,"fm2_zgakuryoku"
"10","as.factor(grade)6",NA,0,NA,NA,"fm2_zgakuryoku"
"11","as.factor(grade)7",NA,0,NA,NA,"fm2_zgakuryoku"
"12","as.factor(grade)8",NA,0,NA,NA,"fm2_zgakuryoku"
"13","as.factor(grade)9",NA,0,NA,NA,"fm2_zgakuryoku"
"14","as.factor(attendance)1:relative_age",0.0263934925025748,0.0228123796591966,1.15698111713367,0.247303774932225,"fm2_zgakuryoku"
"15","as.factor(attendance)1:I(relative_age^2)",-0.0016428540383396,0.00210290933794704,-0.7812291327516,0.434683601954241,"fm2_zgakuryoku"
"16","relative_age:as.factor(grade)5",-0.0218196347833764,0.0065074845448259,-3.35300600916913,0.000801933986286893,"fm2_zgakuryoku"
"17","relative_age:as.factor(grade)6",-0.0152352867254521,0.00601786534968639,-2.53167624068658,0.0113648965714479,"fm2_zgakuryoku"
"18","relative_age:as.factor(grade)7",-0.00926553553295018,0.00683620269683289,-1.35536290304013,0.175328214044528,"fm2_zgakuryoku"
"19","relative_age:as.factor(grade)8",-0.0281402145601167,0.00733898845694133,-3.83434511788899,0.000126561546454313,"fm2_zgakuryoku"
"20","relative_age:as.factor(grade)9",-0.036590909442779,0.00851769380330369,-4.29587048886247,1.7541901894929e-05,"fm2_zgakuryoku"
"21","as.factor(attendance)1",-0.425675859936907,0.0559427354238588,-7.60913560468053,2.97146229489569e-14,"fm1_zkokugo_level"
"22","relative_age",0.0558919879722763,0.00946037884392836,5.90800737416003,3.5593681826491e-09,"fm1_zkokugo_level"
"23","I(relative_age^2)",-0.00260425022229594,0.000870415720724723,-2.99196138154261,0.00277771010373715,"fm1_zkokugo_level"
"24","as.factor(attendance)1:relative_age",0.0163511154678935,0.0278097085323973,0.587964287681945,0.556567644856897,"fm1_zkokugo_level"
"25","as.factor(attendance)1:I(relative_age^2)",-0.000883530957814193,0.00244899922202164,-0.360772249280195,0.718276241729247,"fm1_zkokugo_level"
"26","as.factor(attendance)1",-0.436860875140218,0.0565936521135403,-7.71925576147253,1.26552798847197e-14,"fm2_zkokugo_level"
"27","relative_age",0.0700820081750373,0.0100297754603184,6.98739552568335,2.95288174031735e-12,"fm2_zkokugo_level"
"28","I(relative_age^2)",-0.002596858786601,0.000882343389128022,-2.94313848621607,0.00325543223671652,"fm2_zkokugo_level"
"29","as.factor(grade)5",NA,0,NA,NA,"fm2_zkokugo_level"
"30","as.factor(grade)6",NA,0,NA,NA,"fm2_zkokugo_level"
"31","as.factor(grade)7",NA,0,NA,NA,"fm2_zkokugo_level"
"32","as.factor(grade)8",NA,0,NA,NA,"fm2_zkokugo_level"
"33","as.factor(grade)9",NA,0,NA,NA,"fm2_zkokugo_level"
"34","as.factor(attendance)1:relative_age",0.0194100424036851,0.0281538638757607,0.689427301678343,0.490568125651059,"fm2_zkokugo_level"
"35","as.factor(attendance)1:I(relative_age^2)",-0.00104038889008238,0.00249749392180528,-0.416573141980001,0.676998325161006,"fm2_zkokugo_level"
"36","relative_age:as.factor(grade)5",-0.0196158115600813,0.00546998551449595,-3.58608107975746,0.00033705738962507,"fm2_zkokugo_level"
"37","relative_age:as.factor(grade)6",-0.0122109022346426,0.00694912198649599,-1.75718634071637,0.0789122922537084,"fm2_zkokugo_level"
"38","relative_age:as.factor(grade)7",-0.00639357125915473,0.00707135060871448,-0.904151358479598,0.365933826574847,"fm2_zkokugo_level"
"39","relative_age:as.factor(grade)8",-0.026766926220246,0.00757966589707009,-3.5314124110131,0.000414942646779185,"fm2_zkokugo_level"
"40","relative_age:as.factor(grade)9",-0.0330716037321921,0.00832728006430006,-3.97147729832861,7.1857483140747e-05,"fm2_zkokugo_level"
"41","as.factor(attendance)1",-0.502075569117601,0.0830862840276482,-6.04282132717029,1.56062594138806e-09,"fm1_zmath_level"
"42","relative_age",0.0299761603805606,0.0114964787801433,2.60742101593189,0.00913432287588176,"fm1_zmath_level"
"43","I(relative_age^2)",-0.000192554408179562,0.00115747796493263,-0.166356867269408,0.867878998071297,"fm1_zmath_level"
"44","as.factor(attendance)1:relative_age",0.0295470642211338,0.0260669368430063,1.13350733916637,0.257024548116053,"fm1_zmath_level"
"45","as.factor(attendance)1:I(relative_age^2)",-0.00204236246431437,0.00235866114647888,-0.865899057761349,0.386563322181038,"fm1_zmath_level"
"46","as.factor(attendance)1",-0.514631187676095,0.0818749328997563,-6.28557690918885,3.3829127410944e-10,"fm2_zmath_level"
"47","relative_age",0.0481155885840136,0.0131141574522264,3.66898054711436,0.000244604332511672,"fm2_zmath_level"
"48","I(relative_age^2)",-0.000189478594372804,0.00114391074143556,-0.165641065783697,0.868442298590151,"fm2_zmath_level"
"49","as.factor(grade)5",NA,0,NA,NA,"fm2_zmath_level"
"50","as.factor(grade)6",NA,0,NA,NA,"fm2_zmath_level"
"51","as.factor(grade)7",NA,0,NA,NA,"fm2_zmath_level"
"52","as.factor(grade)8",NA,0,NA,NA,"fm2_zmath_level"
"53","as.factor(grade)9",NA,0,NA,NA,"fm2_zmath_level"
"54","as.factor(attendance)1:relative_age",0.0329117122490552,0.0259560808861806,1.26797694896142,0.204831491839849,"fm2_zmath_level"
"55","as.factor(attendance)1:I(relative_age^2)",-0.00220286973505073,0.00237202849135782,-0.928686035212733,0.353071037562706,"fm2_zmath_level"
"56","relative_age:as.factor(grade)5",-0.0240185784831843,0.0102094436434309,-2.35258446219435,0.0186599758728349,"fm2_zmath_level"
"57","relative_age:as.factor(grade)6",-0.0182590892189862,0.00686018463739426,-2.66160317602204,0.00778760735304669,"fm2_zmath_level"
"58","relative_age:as.factor(grade)7",-0.0121345468595892,0.00854905639773948,-1.41940189595635,0.155808603084107,"fm2_zmath_level"
"59","relative_age:as.factor(grade)8",-0.0294204235842884,0.0088349905780596,-3.32998924269933,0.00087118714770308,"fm2_zmath_level"
"60","relative_age:as.factor(grade)9",-0.0400582017158395,0.0110404162197245,-3.62832350869821,0.000286486289635546,"fm2_zmath_level"
"61","as.factor(attendance)1",-0.360150566729099,0.154546027045205,-2.33037738733817,0.019852816427755,"fm1_zeng_level"
"62","relative_age",0.0262425957494111,0.0295854881039075,0.887009051777149,0.375145798301351,"fm1_zeng_level"
"63","I(relative_age^2)",-0.00151942030488173,0.00249927677792158,-0.607943993360067,0.543271072293303,"fm1_zeng_level"
"64","as.factor(attendance)1:relative_age",-0.0246794660698265,0.0577980567446351,-0.426994737537042,0.669414090541188,"fm1_zeng_level"
