"","term","estimate","std.error","statistic","p.value","name","is_adopt","tag_adopt","p_value_adjust","p_value_adjust_num"
"31","(Intercept)",-0.112513530658705,0.0126131417616291,-8.92034140145691,4.69832331082114e-19,"grade8_not_apr_march_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"32","relative_age",0.0268462271799518,0.00377366753233027,7.11409443199519,1.13143406759596e-12,"grade8_not_apr_march_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"33","I(relative_age^2)",-0.000804419537807082,0.000334446881829519,-2.40522361400614,0.0161637580269814,"grade8_not_apr_march_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"34","(Intercept)",-0.0900295275451908,0.013684463339307,-6.57895931414363,4.75765055328262e-11,"grade9_not_apr_march_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"35","relative_age",0.0225324829441812,0.00418993934198294,5.377758746626,7.5564745368831e-08,"grade9_not_apr_march_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"36","I(relative_age^2)",-0.000765991557709426,0.000378347594840113,-2.02457097165671,0.0429137338546786,"grade9_not_apr_march_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"37","relative_age",0.0416812744502917,0.00251717191314996,16.5587714659235,1.59498843524176e-61,"grade4_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"38","I(relative_age^2)",-0.000941736408720866,0.000222849862050362,-4.22587835620038,2.38168712130526e-05,"grade4_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"39","as.factor(sex)2",0.109513452154523,0.00487361270756289,22.4706924258836,1.29720851513719e-111,"grade4_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"40","as.factor(book)2",0.239793615081346,0.00770857743951578,31.107375772359,1.1046972697124e-211,"grade4_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"41","as.factor(book)3",0.50712703237375,0.00816641641400074,62.0990905514342,0,"grade4_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"42","as.factor(book)4",0.614055185379852,0.0097306742800656,63.1051012197392,0,"grade4_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"43","as.factor(book)5",0.589888267115882,0.0118664734065091,49.7104950146614,0,"grade4_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"44","as.factor(year)2017",-0.00208243488443054,0.00814651116937363,-0.255622909136777,0.798242421796562,"grade4_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"45","as.factor(year)2018",0.00640983343773407,0.00860797503432382,0.744638943790522,0.456491332424258,"grade4_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"46","relative_age",0.0366360921236502,0.00236167307471467,15.5127703812588,3.16775639626543e-54,"grade5_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"47","I(relative_age^2)",-0.00081019275209994,0.000212366959662654,-3.81506027767661,0.000136210303385294,"grade5_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"48","as.factor(sex)2",0.127107147152491,0.00489943848252557,25.9432070850227,5.01848549330997e-148,"grade5_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"49","as.factor(book)2",0.226290695213164,0.00968115278636541,23.3743542950654,1.35546862450923e-120,"grade5_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"50","as.factor(book)3",0.485553212068115,0.00947461101256664,51.2478255227683,0,"grade5_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"51","as.factor(book)4",0.606854178164995,0.0107656151144816,56.3696706330021,0,"grade5_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"52","as.factor(book)5",0.71131239331767,0.0126482451411407,56.2380302864307,0,"grade5_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"53","as.factor(year)2017",-0.00836439256230868,0.00836895247210044,-0.999455139719461,0.317576051832098,"grade5_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"54","as.factor(year)2018",-0.0186993228767681,0.00794216074843885,-2.35443772407198,0.0185521760521656,"grade5_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"55","relative_age",0.0335576348448757,0.0023041349289064,14.5640927637875,5.16172971287095e-48,"grade6_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"56","I(relative_age^2)",-0.000898832369830095,0.000208214070796684,-4.31686660940308,1.58370355960557e-05,"grade6_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"57","as.factor(sex)2",0.123717191099403,0.00505504534934654,24.474002219465,5.37216235769696e-132,"grade6_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"58","as.factor(book)2",0.205258110959265,0.00903915037100585,22.7076774403106,6.10857653549679e-114,"grade6_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"59","as.factor(book)3",0.467315910063067,0.00898594107994666,52.005227488743,0,"grade6_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"60","as.factor(book)4",0.625474973807432,0.0104899405810216,59.626169374023,0,"grade6_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"61","as.factor(book)5",0.758857180548213,0.0114600984264109,66.2173353414969,0,"grade6_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"62","as.factor(year)2017",-0.002909662646245,0.00724622246720651,-0.401541997835833,0.688021748769643,"grade6_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"63","as.factor(year)2018",-0.00948285848355555,0.00773180276055404,-1.22647444292488,0.220022290087538,"grade6_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"64","relative_age",0.0311106633280304,0.00260951331344473,11.9220174764935,9.44711338219691e-33,"grade7_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"65","I(relative_age^2)",-0.000902442519839353,0.000226432422856919,-3.98548276988406,6.73791955542085e-05,"grade7_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"66","as.factor(sex)2",0.102367169429859,0.0052802240526708,19.3868988150381,1.30199155079466e-83,"grade7_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"67","as.factor(book)2",0.234802828578461,0.00864398088845505,27.1637375890158,4.87877388331503e-162,"grade7_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"68","as.factor(book)3",0.455107810789617,0.00848528455971272,53.6349497281946,0,"grade7_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"69","as.factor(book)4",0.573508012466812,0.00933428918517621,61.4409947120131,0,"grade7_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"70","as.factor(book)5",0.648247621573696,0.0107786819758485,60.1416409748617,0,"grade7_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"71","as.factor(year)2017",-0.00936516824093784,0.00739318063945292,-1.26673061266238,0.205253863687177,"grade7_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"72","as.factor(year)2018",-0.0134487810636544,0.00732465292409735,-1.83609806539901,0.0663454006948679,"grade7_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"73","relative_age",0.0309179135075064,0.00269627861594198,11.4668837725825,1.99937043923812e-30,"grade8_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"74","I(relative_age^2)",-0.00116542014637979,0.000229577823900675,-5.07636202216114,3.85243127036064e-07,"grade8_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"75","as.factor(sex)2",0.113807097498083,0.00573722841947847,19.8365986460809,1.92205665593529e-87,"grade8_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"76","as.factor(book)2",0.218933579977735,0.0093566850472788,23.3986266366214,7.72289260598295e-121,"grade8_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"77","as.factor(book)3",0.399611064634464,0.00917660924650111,43.5467016084213,0,"grade8_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"78","as.factor(book)4",0.496213232269621,0.00994580806453878,49.8916959838428,0,"grade8_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"79","as.factor(book)5",0.554360651041546,0.0114841947657666,48.271616978671,0,"grade8_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
