"","term","statistic","bias","std.error","X2.5.","X97.5.","fm_use","fm_delta","name"
"23","tau2-tau3",0.0692914690496698,-0.00329645561499654,0.00792883753547292,0.0490863703458717,0.0794202327024079,"zstrategy ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zstrategy_prime"
"24","tau1-tau3",0.0889530957201644,0.00129563294851323,0.0132448108626185,0.0654500855524467,0.1161401613279,"zstrategy ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zstrategy_prime"
"25","res.tau1.delta",0.139583977927794,-0.0294320746098222,0.0541370045113237,0.0163388189131215,0.163453588995129,"zselfcontrol ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfcontrol_prime"
"26","res.tau2.delta",0.0812525418989224,0.00293444222210126,0.014586504419803,0.0639715230428018,0.105927586225465,"zselfcontrol ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfcontrol_prime"
"27","res.tau3.delta",0.0172482010510193,-0.00467234457471554,0.00789871822580754,2.75234984947228e-13,0.0182935468973307,"zselfcontrol ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfcontrol_prime"
"28","tau1-tau2",0.0583314360288718,-0.0323665168319234,0.054828493396661,-0.0858093636922307,0.0856111205953859,"zselfcontrol ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfcontrol_prime"
"29","tau2-tau3",0.0640043408479032,0.0076067867968168,0.0152795515398475,0.0475057356071444,0.103850976530716,"zselfcontrol ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfcontrol_prime"
"30","tau1-tau3",0.122335776876775,-0.0247597300351066,0.0543831776335004,-0.00195472774087656,0.160567106962602,"zselfcontrol ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfcontrol_prime"
"31","res.tau1.delta",0.153189241534781,0.00522154998975807,0.0281999890432605,0.139827720775399,0.221531620730325,"zselfefficacy ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfefficacy_prime"
"32","res.tau2.delta",0.168397714982938,-0.0022123058918424,0.00623347754967743,0.145002515402577,0.168397715267306,"zselfefficacy ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfefficacy_prime"
"33","res.tau3.delta",0.145128579542163,0.00327843414817611,0.00657543880831578,0.145002515388265,0.160219188102903,"zselfefficacy ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfefficacy_prime"
"34","tau1-tau2",-0.0152084734481569,0.00743385588160045,0.0276695809112618,-0.0343737417021839,0.05313390574729,"zselfefficacy ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfefficacy_prime"
"35","tau2-tau3",0.0232691354407749,-0.0054907400400185,0.00905161341059239,-0.00250273325187818,0.0233951998718351,"zselfefficacy ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfefficacy_prime"
"36","tau1-tau3",0.00806066199261796,0.00194311584158195,0.0284524689276434,-0.0228836777970066,0.0758244675262097,"zselfefficacy ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfefficacy_prime"
"37","res.tau1.delta",0.11982375276384,-0.0341015073392291,0.0621393158004983,-2.0093138445752e-13,0.239647485444988,"zdilligence ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zdilligence_prime"
"38","res.tau2.delta",6.30696044756329e-13,0.00189721845491794,0.0148990511427128,-5.37839213214949e-12,3.03101988701041e-09,"zdilligence ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zdilligence_prime"
"39","res.tau3.delta",7.02188765331547e-13,3.1479543144011e-11,1.76298829995323e-10,-1.03125820808904e-10,3.89604782219254e-10,"zdilligence ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zdilligence_prime"
"40","tau1-tau2",0.119823752763209,-0.0359987257941471,0.0642732966603999,-4.26896266291529e-10,0.210523676543245,"zdilligence ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zdilligence_prime"
"41","tau2-tau3",-7.14927205752179e-14,0.0018972184234384,0.0148990511203875,-2.85409017488276e-10,3.03038492266435e-09,"zdilligence ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zdilligence_prime"
"42","tau1-tau3",0.119823752763137,-0.0341015073707087,0.0621393157923021,-4.80065641084086e-11,0.239647485443239,"zdilligence ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zdilligence_prime"
"43","res.tau1.delta",0.187490677251898,0.000186958485332622,0.00819207060232265,0.172463447412029,0.202087104107564,"zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zgakuryoku_junior"
"44","res.tau2.delta",0.189254118437693,-0.000145795086134354,0.00505066875780757,0.178853558337449,0.198018820016411,"zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zgakuryoku_junior"
"45","res.tau3.delta",0.200482256525466,0.00016595403373415,0.00650868346084791,0.18748469320566,0.212319794097742,"zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zgakuryoku_junior"
"46","tau1-tau2",-0.00176344118579466,0.000332753571466977,0.00779297567954713,-0.0165414548017753,0.0134579488324755,"zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zgakuryoku_junior"
"47","tau2-tau3",-0.0112281380877728,-0.000311749119868514,0.00667549667093038,-0.024390358148427,0.000954814449070895,"zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zgakuryoku_junior"
"48","tau1-tau3",-0.0129915792735675,2.10044515984633e-05,0.0096738785696122,-0.0302989483968875,0.00639188595198763,"zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zgakuryoku_junior"
"49","res.tau1.delta",0.150655439589347,0.00343663659377846,0.0074016488745899,0.142423195788077,0.168292313266567,"zmath_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zmath_level_junior"
"50","res.tau2.delta",0.163885656396277,-0.00233648247595833,0.00524918911573337,0.147064787345334,0.168106776980723,"zmath_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zmath_level_junior"
"51","res.tau3.delta",0.202224839741548,-0.00631921735152979,0.0136019895788438,0.172318476355381,0.218815136224255,"zmath_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zmath_level_junior"
