"","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","obs1","obs2","name","is_adopt","tag_adopt","p_value_adjust","p_value_adjust_num"
"1",-0.205149180089868,0.000269433209872207,0.205418613299741,-11.8696275783783,8.18119473832204e-32,3112.42199585537,-0.239037473986648,-0.171260886193089,"Welch Two Sample t-test","two.sided",137567,2987,"mean_test_zgakuryoku_9",TRUE,"grade9",1.51498446226818e-30,28
"2",-0.186510251260278,-1.12464637929088e-13,0.186510251260165,-9.98344895840873,3.99410106617587e-23,3114.32804602525,-0.22314042797926,-0.149880074541296,"Welch Two Sample t-test","two.sided",137587,2987,"mean_test_zkokugo_level_9",TRUE,"grade9",2.23669659705849e-22,28
"3",-0.222931423717922,-9.15963312705982e-16,0.222931423717921,-11.7625795163368,2.7657074515565e-31,3114.72033454721,-0.260092270751967,-0.185770576683878,"Welch Two Sample t-test","two.sided",137612,2991,"mean_test_zmath_level_9",TRUE,"grade9",2.58132695478607e-30,28
"4",-0.227921142879918,1.02851373555371e-14,0.227921142879928,-11.8452572744756,1.08213175876298e-31,3109.82747869015,-0.265648576969433,-0.190193708790402,"Welch Two Sample t-test","two.sided",137638,2990,"mean_test_zeng_level_9",TRUE,"grade9",1.51498446226818e-30,28
"5",0.0831460817534408,1.74933234748759e-16,-0.0831460817534406,4.5931439124009,4.5462161763117e-06,2996.54048285805,0.0476520543063269,0.118640109200555,"Welch Two Sample t-test","two.sided",131391,2860,"mean_test_zstrategy_9",TRUE,"grade9",1.15721866306116e-05,28
"6",0.298414851667808,2.82760160906038e-16,-0.298414851667808,9.00009385362554,1.13626856949662e-18,985.95836201729,0.233348726649307,0.36348097668631,"Welch Two Sample t-test","two.sided",44419,947,"mean_test_zselfcontrol_9",TRUE,"grade9",4.54507427798648e-18,28
"7",0.0289807578657336,7.50416329560518e-17,-0.0289807578657335,0.904296085114867,0.366050825852517,1025.39743225162,-0.0339061304547054,0.0918676461861726,"Welch Two Sample t-test","two.sided",45508,983,"mean_test_zselfefficacy_9",TRUE,"grade9",0.445627092342195,28
"8",0.0525403195388897,1.29044188198104e-16,-0.0525403195388896,1.68698276962367,0.0918989218842979,1067.14262302856,-0.00857118912599773,0.113651828203777,"Welch Two Sample t-test","two.sided",46141,1021,"mean_test_zdilligence_9",TRUE,"grade9",0.128658490638017,28
"9",0.00486767459064291,0.49188066160363,0.487012987012987,0.609621204457488,0.542145917455412,4177.38485738682,-0.0107866889382963,0.0205220381195821,"Welch Two Sample t-test","two.sided",185791,4004,"mean_test_girl_9",TRUE,"grade9",0.632503570364648,28
"10",0.0113106124540804,0.135139260379114,0.123828647925033,1.85514791013303,0.0636691194264392,3128.31496863688,-0.000643676088351649,0.0232649009965124,"Welch Two Sample t-test","two.sided",137584,2988,"mean_test_no_book_9",TRUE,"grade9",0.0938281759968577,28
"11",-0.0241653861448125,0.69943918682089,0.723604572965703,-2.91323571838006,0.00360254031430063,3110.19743079955,-0.0404296812621632,-0.00790109102746168,"Welch Two Sample t-test","two.sided",136944,2974,"mean_test_cram_9",TRUE,"grade9",0.00672474192002785,28
"12",0.0285337351583834,5.56349877012342,5.53496503496504,0.527877224914784,0.597612575131579,4179.6657156066,-0.077440325178011,0.134507795494778,"Welch Two Sample t-test","two.sided",185791,4004,"mean_test_relative_age_9",TRUE,"grade9",0.643582773218623,28
"13",0.212280812435722,6.20815623331114,5.99587542087542,2.19491794158726,0.0282433295417692,3102.62737218867,0.022649523071104,0.40191210180034,"Welch Two Sample t-test","two.sided",136693,2970,"mean_test_hourshome_9",TRUE,"grade9",0.0465184251276199,28
"14",-0.46499020054084,4.41799567706508,4.88298587760592,-6.10664706958332,1.14396977378889e-09,3099.26303992784,-0.614289822789741,-0.315690578291939,"Welch Two Sample t-test","two.sided",136944,2974,"mean_test_hoursprep_9",TRUE,"grade9",3.55901707400989e-09,28
"15",-0.254798309864954,10.6239053938387,10.8787037037037,-2.05389670836189,0.0400694659718323,3096.96233374953,-0.498038760553063,-0.0115578591768455,"Welch Two Sample t-test","two.sided",136693,2970,"mean_test_studytime_9",TRUE,"grade9",0.062330280400628,28
"16",0.186685162501558,2.06496486589758e-17,-0.186685162501558,11.0557624189554,5.03739341439128e-28,4154.55258674036,0.153579998893756,0.21979032610936,"Welch Two Sample t-test","two.sided",185530,4000,"mean_test_teacherrelation_9",TRUE,"grade9",3.52617539007389e-27,28
"17",0.0542385363964205,7.86719813706668e-18,-0.0542385363964205,3.3933741146575,0.000696803841363332,4173.08761072992,0.0229020506329396,0.0855750221599014,"Welch Two Sample t-test","two.sided",185634,4000,"mean_test_zfriendrelation_9",TRUE,"grade9",0.00150080827370564,28
"18",0.190021286243809,6.98340029990794e-05,-0.18995145224081,9.9553865491008,7.90329971284229e-23,2028.23935480544,0.152588559869358,0.22745401261826,"Welch Two Sample t-test","two.sided",90626,1950,"mean_test_teacherrelation2_9",TRUE,"grade9",3.68820653265974e-22,28
"19",0.195084318047137,13.5948822298019,13.3997979117548,3.13658756771809,0.00172527531098646,3102.21850416474,0.0731341197597619,0.317034516334511,"Welch Two Sample t-test","two.sided",136622,2969,"mean_test_zyunan_9",TRUE,"grade9",0.00345055062197291,28
"20",0.297782978132911,13.5595595595596,13.2617765814266,4.80197622026482,1.64539794569936e-06,3106.17536573464,0.176193158082818,0.419372798183005,"Welch Two Sample t-test","two.sided",136863,2972,"mean_test_planning_9",TRUE,"grade9",4.60711424795822e-06,28
