"","term","estimate","std.error","statistic","p.value","name"
"1","is_apirl",0.335294069879879,0.0121396590889169,27.6197269976051,5.57249933504932e-165,"grade4_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"2","as.factor(sex)2",0.128197285672278,0.0116069093266816,11.0449114457698,2.77417902070991e-28,"grade4_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"3","as.factor(book)2",0.245006256793844,0.0197264551345095,12.4201867554617,2.69967922485131e-35,"grade4_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"4","as.factor(book)3",0.504653106835732,0.0199650268916497,25.2768558527112,6.72632797378417e-139,"grade4_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"5","as.factor(book)4",0.613057647268034,0.0233209955614135,26.2877991487803,6.88726993060767e-150,"grade4_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"6","as.factor(book)5",0.578165347240407,0.0262715869554399,22.0072486759575,3.85128097135818e-106,"grade4_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"7","as.factor(year)2017",-0.029593028064109,0.0161932965180789,-1.8274863324506,0.0676408179657128,"grade4_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"8","as.factor(year)2018",-0.00895732781709922,0.0157026544624332,-0.570433988630939,0.56838946627798,"grade4_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"9","is_apirl",0.306149224253625,0.0118829885106352,25.7636556645345,3.46269227597657e-144,"grade5_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"10","as.factor(sex)2",0.140645503730307,0.0120290904910615,11.69211453142,1.74150410288453e-31,"grade5_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"11","as.factor(book)2",0.204661001418132,0.024065578375888,8.5043042897813,1.94426589442191e-17,"grade5_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"12","as.factor(book)3",0.461805487423371,0.0227949983956466,20.2590708456276,2.05870949805149e-90,"grade5_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"13","as.factor(book)4",0.580762077364184,0.0264439045293087,21.9620395588899,9.62534121716686e-106,"grade5_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"14","as.factor(book)5",0.695389758833134,0.0282550933410762,24.6111294143985,6.37930239929021e-132,"grade5_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"15","as.factor(year)2017",0.0018140491852873,0.0159463024113029,0.113759863477911,0.909429217141265,"grade5_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"16","as.factor(year)2018",-0.0335630919495398,0.0154680413974606,-2.16983463433514,0.0300302767214296,"grade5_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"17","is_apirl",0.251955502044239,0.012394698086127,20.3276836832553,5.12818316055051e-91,"grade6_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"18","as.factor(sex)2",0.132064968764791,0.0118662901004556,11.1294235727239,1.07844175203328e-28,"grade6_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"19","as.factor(book)2",0.214380294030538,0.0225941513537931,9.48830919442999,2.58197019323653e-21,"grade6_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"20","as.factor(book)3",0.474687886694721,0.0212256097193001,22.3639223076402,1.51686597738261e-109,"grade6_in_april_and_march_by_grade_t8_basic_zgakuryoku"
"21","as.factor(book)4",0.637985286475342,0.0239874381680074,26.5966412089073,2.09895903748163e-153,"grade6_in_april_and_march_by_grade_t8_basic_zgakuryoku"
