grade,relative_age,is_attrition_next_year
4.0,0.0,0.022672811059907833
4.0,1.0,0.02493643653432427
4.0,2.0,0.021961411932070775
4.0,3.0,0.03392211963067041
4.0,4.0,0.02312614259597806
4.0,5.0,0.024561100060537924
4.0,6.0,0.021524896265560166
4.0,7.0,0.021429188628704743
4.0,8.0,0.01973338010875285
4.0,9.0,0.018976825535636205
4.0,10.0,0.021379310344827585
4.0,11.0,0.01771438953488372
5.0,0.0,0.020578720345075484
5.0,1.0,0.019592850998757527
5.0,2.0,0.020354507675345603
5.0,3.0,0.03256364712847839
5.0,4.0,0.018148342977380327
5.0,5.0,0.02167530224525043
5.0,6.0,0.018187858151316336
5.0,7.0,0.01825
5.0,8.0,0.016845967809190225
5.0,9.0,0.01665109166595871
5.0,10.0,0.015542300260438544
5.0,11.0,0.01903328611898017
6.0,0.0,0.07843482858905437
6.0,1.0,0.0720771318917907
6.0,2.0,0.0766132415876479
6.0,3.0,0.09116314927242941
6.0,4.0,0.07716076631058533
6.0,5.0,0.07761548913043478
6.0,6.0,0.07771894093686355
6.0,7.0,0.07878391631252044
6.0,8.0,0.0778197604309028
6.0,9.0,0.07745516652433818
6.0,10.0,0.07912141748999756
6.0,11.0,0.08207837956847204
7.0,0.0,0.026134167663568603
7.0,1.0,0.02482132509175198
7.0,2.0,0.031116430159001538
7.0,3.0,0.03792802405664953
7.0,4.0,0.028871391076115485
7.0,5.0,0.02574995664990463
7.0,6.0,0.028137263087584536
7.0,7.0,0.028545272969374168
7.0,8.0,0.026720647773279354
7.0,9.0,0.02577365557834656
7.0,10.0,0.027222315577213912
7.0,11.0,0.027220760366572908
8.0,0.0,0.035343219962703135
8.0,1.0,0.030695126558367963
8.0,2.0,0.033928270752651965
8.0,3.0,0.04951600893521966
8.0,4.0,0.031172511512575274
8.0,5.0,0.03127333056822895
8.0,6.0,0.03028826634185952
8.0,7.0,0.029564652371669914
8.0,8.0,0.028608164577306333
8.0,9.0,0.02694770544290288
8.0,10.0,0.027893769834641723
8.0,11.0,0.028658700925343634
9.0,0.0,
9.0,1.0,
9.0,2.0,
9.0,3.0,
9.0,4.0,
9.0,5.0,
9.0,6.0,
9.0,7.0,
9.0,8.0,
9.0,9.0,
9.0,10.0,
9.0,11.0,
