"","term","estimate","std.error","statistic","p.value","name"
"1","(Intercept)",7.74363299470555,2.12776748182074,3.63932293395107,0.000280870947172558,"in_april_and_march_t36_basic_I(attendance*100)"
"2","is_apirl",-0.135276098049624,1.58291316078963,-0.0854602143696516,0.931904786416107,"in_april_and_march_t36_basic_I(attendance*100)"
"3","as.factor(year)2018",1.65754415780666,1.64417570539303,1.00813079305927,0.31352372682157,"in_april_and_march_t36_basic_I(attendance*100)"
"4","as.factor(grade)5",6.99510032518747,2.5231689081556,2.77234722676604,0.00562122651858034,"in_april_and_march_t36_basic_I(attendance*100)"
"5","as.factor(grade)6",5.19796343870072,2.54518933542879,2.04226984859066,0.0412665247126607,"in_april_and_march_t36_basic_I(attendance*100)"
"6","as.factor(grade)7",3.96951873686376,2.5908072972849,1.53215514755718,0.125655407808375,"in_april_and_march_t36_basic_I(attendance*100)"
"7","as.factor(grade)8",6.82342222345795,2.57914765840223,2.64561131319059,0.00822351425601672,"in_april_and_march_t36_basic_I(attendance*100)"
"8","as.factor(grade)9",8.0509034132782,3.4704479724801,2.31984558682917,0.0204577620104696,"in_april_and_march_t36_basic_I(attendance*100)"
"9","(Intercept)",4.08004310442727,1.31721800934565,3.09746987626907,0.0019811731912191,"in_april_and_march_t36_basic_I(singleparent*100)"
"10","is_apirl",0.144387344654119,0.979919911567671,0.147346066703685,0.882874955115472,"in_april_and_march_t36_basic_I(singleparent*100)"
"11","as.factor(year)2018",0.2443333455707,1.01784516784656,0.240049619813622,0.810318427921205,"in_april_and_march_t36_basic_I(singleparent*100)"
"12","as.factor(grade)5",0.239443522776108,1.56199563854579,0.153293336336732,0.878183700635292,"in_april_and_march_t36_basic_I(singleparent*100)"
"13","as.factor(grade)6",-0.185285042319218,1.57562762776715,-0.117594436054532,0.906401799660701,"in_april_and_march_t36_basic_I(singleparent*100)"
"14","as.factor(grade)7",-1.15130182594771,1.60386793194507,-0.717828321781762,0.472953928002487,"in_april_and_march_t36_basic_I(singleparent*100)"
"15","as.factor(grade)8",2.47774237899091,1.59664990344809,1.55183824183375,0.12087225425265,"in_april_and_march_t36_basic_I(singleparent*100)"
"16","as.factor(grade)9",1.40785532269366,2.14841922761982,0.655298232576976,0.512357364467747,"in_april_and_march_t36_basic_I(singleparent*100)"
"17","(Intercept)",0.550722734645393,0.479360183722794,1.14887041799839,0.250758174435142,"in_april_and_march_t36_basic_I(publicassistance*100)"
"18","is_apirl",0.395772158046934,0.356611119427413,1.10981440702802,0.267223479585534,"in_april_and_march_t36_basic_I(publicassistance*100)"
"19","as.factor(year)2018",-0.40681824999966,0.370412827032834,-1.09828337549336,0.272223917459368,"in_april_and_march_t36_basic_I(publicassistance*100)"
"20","as.factor(grade)5",-0.252438825709629,0.568439325119363,-0.444091065755559,0.657028768920773,"in_april_and_march_t36_basic_I(publicassistance*100)"
"21","as.factor(grade)6",0.344981195758274,0.573400260068091,0.601641156767714,0.547486864278893,"in_april_and_march_t36_basic_I(publicassistance*100)"
"22","as.factor(grade)7",-0.535456648349588,0.583677433097208,-0.917384531226875,0.359060947185621,"in_april_and_march_t36_basic_I(publicassistance*100)"
"23","as.factor(grade)8",-0.225063063422193,0.58105065799857,-0.387338109550418,0.698550543173714,"in_april_and_march_t36_basic_I(publicassistance*100)"
"24","as.factor(grade)9",2.5768355602897,0.781849798862849,3.29581917657016,0.000999940134153445,"in_april_and_march_t36_basic_I(publicassistance*100)"
