"","data_name","no_have_data","fm_use_str","name","obs","r.squared","adj.r.squared","sigma","statistic","p.value","df","df.residual"
"1","grade_6",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_zselfcontrol_zkokugo_level",45991,0.0191148883546534,0.0190935596649309,0.990450553584329,896.205468005917,4.9297258176938e-195,45989,45989
"2","grade_5",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_zselfcontrol_zkokugo_level",46190,0.0288027640275462,0.0287817369807813,0.985459178891034,1369.79597514221,1.65046585002098e-295,46188,46188
"3","grade_4",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_4_t0_corr_zselfcontrol_zkokugo_level",43246,0.042745060157796,0.0427229240246946,0.978373307474815,1931.00845399496,0,43244,43244
"4","grade_9",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_zselfcontrol_zkokugo_level",44396,0.0106031044339096,0.0105808177083258,0.994408308406051,475.758737821449,6.3767807597858e-105,44394,44394
"5","grade_7",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_zselfcontrol_zkokugo_level",44755,0.018853897862328,0.0188319742795038,0.990525068562179,859.982513505792,2.93140998403835e-187,44753,44753
"6","grade_8",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_zselfcontrol_zkokugo_level",45132,0.0161281467463053,0.0161063459075449,0.99191288486037,739.794781458268,1.34400640419126e-161,45130,45130
"7","grade_6",FALSE,"zselfefficacy ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_zselfefficacy_zkokugo_level",44939,0.0675724325875909,0.0675516829254547,0.965544454642645,3256.55580048454,0,44937,44937
"8","grade_5",FALSE,"zselfefficacy ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_zselfefficacy_zkokugo_level",44021,0.0764394326457639,0.0764184516928265,0.960971257524875,3643.27744662501,0,44019,44019
"9","grade_9",FALSE,"zselfefficacy ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_zselfefficacy_zkokugo_level",45477,0.138289018616359,0.13827006950187,0.927897474230962,7297.91456467369,0,45475,45475
"10","grade_7",FALSE,"zselfefficacy ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_zselfefficacy_zkokugo_level",42403,0.0564904689302291,0.056468216871762,0.971349103057862,2538.66261466894,0,42401,42401
"11","grade_8",FALSE,"zselfefficacy ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_zselfefficacy_zkokugo_level",45488,0.120583165765598,0.120563831974228,0.937484956497545,6236.91253623654,0,45486,45486
"12","grade_6",FALSE,"zdilligence ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_zdilligence_zkokugo_level",45013,0.0321247963147797,0.0321032932332289,0.983801162178642,1493.96244621101,1.51184087627421e-321,45011,45011
"13","grade_9",FALSE,"zdilligence ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_zdilligence_zkokugo_level",46094,0.0220935762591098,0.022072359856616,0.988488347387016,1041.34413294816,6.15357875073166e-226,46092,46092
"14","grade_7",FALSE,"zdilligence ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_zdilligence_zkokugo_level",43784,0.0293430685117278,0.0293208982835178,0.98515940724341,1323.53479783087,1.5986964621376e-285,43782,43782
"15","grade_8",FALSE,"zdilligence ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_zdilligence_zkokugo_level",42939,0.0252872060360883,0.0252645050370907,0.987272727121424,1113.92481179612,3.82295482944167e-241,42937,42937
"16","grade_6",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_zyunan_zkokugo_level",136359,0.0122171848122916,0.0122099407191011,3.50503372731553,1686.50298814227,0,136357,136357
"17","grade_5",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_zyunan_zkokugo_level",132996,0.00645053584158277,0.00644306520783866,3.50971772426395,863.45229368336,3.50324705050489e-189,132994,132994
"18","grade_4",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_4_t0_corr_zyunan_zkokugo_level",130207,0.000983587278112292,0.000975914635642838,3.53573239601856,128.194071604571,1.05099452148219e-29,130205,130205
"19","grade_9",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_zyunan_zkokugo_level",136520,0.0247924237004282,0.0247852802645714,3.35679139910216,3470.65812550183,0,136518,136518
"20","grade_7",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_zyunan_zkokugo_level",130994,0.0105067221625653,0.0104991683174613,3.31150269037969,1390.91045926728,7.80143204182414e-303,130992,130992
"21","grade_8",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_zyunan_zkokugo_level",133510,0.0222609647118032,0.0222536412627568,3.45154682183119,3039.68315621908,0,133508,133508
"22","grade_6",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_planning_zkokugo_level",136497,0.0233102035889889,0.0233030480902791,3.49225238598194,3257.66302726901,0,136495,136495
"23","grade_5",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_planning_zkokugo_level",133107,0.0184197868031556,0.018412412322759,3.50467817168812,2497.77419050557,0,133105,133105
"24","grade_4",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_4_t0_corr_planning_zkokugo_level",130303,0.00750533025470692,0.00749771331646576,3.56352044979768,985.347395134668,1.76128520378342e-215,130301,130301
"25","grade_9",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_planning_zkokugo_level",136761,0.0195271036503548,0.0195199343021119,3.36882016296072,2723.69300371414,0,136759,136759
"26","grade_7",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_planning_zkokugo_level",131481,0.0217998159899603,0.0217923760171586,3.28112336062827,2930.09350580389,0,131479,131479
"27","grade_8",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_planning_zkokugo_level",133801,0.0201538462280457,0.0201465229584116,3.43944091886239,2752.02842924448,0,133799,133799
"28","grade_6",FALSE,"execution ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_execution_zkokugo_level",136823,0.0233970035458195,0.0233898657307441,3.65460476786363,3277.89432734222,0,136821,136821
"29","grade_5",FALSE,"execution ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_execution_zkokugo_level",133501,0.0112214559219543,0.0112140492856193,3.67948706117494,1515.05425870845,0,133499,133499
"30","grade_4",FALSE,"execution ~ zkokugo_level | 0 | 0 | 0","grade_4_t0_corr_execution_zkokugo_level",130868,0.000659666443046519,0.000652030079639876,3.69335496537598,86.3848939514516,1.50286903477706e-20,130866,130866
