"","term","estimate","std.error","statistic","p.value","name","is_adopt","tag_adopt","p_value_adjust","p_value_adjust_num"
"1","(Intercept)",10.6332299607738,1.30332197780255,8.15855954389859,3.72924496317956e-16,"I(attendance*100)_rdd",FALSE,NA,NA,NA
"2","distance_cutoff",-0.369349153938997,0.27211896602288,-1.35730764869929,0.174709149848176,"I(attendance*100)_rdd",FALSE,NA,NA,NA
"3","upper_cutoff",-0.0199706448022135,1.35101856721381,-0.0147819173524747,0.988206413007616,"I(attendance*100)_rdd",FALSE,NA,NA,NA
"4","as.factor(grade)5",1.22636596406575,1.03882594472156,1.1805307427073,0.23781272318286,"I(attendance*100)_rdd",FALSE,NA,NA,NA
"5","as.factor(grade)6",2.03292960084544,1.04641383671015,1.94275871507666,0.0520688107098234,"I(attendance*100)_rdd",FALSE,NA,NA,NA
"6","as.factor(grade)7",2.87151306178701,1.07367729311801,2.6744656706374,0.00749504472765077,"I(attendance*100)_rdd",FALSE,NA,NA,NA
"7","as.factor(grade)8",3.63116358933901,1.06912494354209,3.39638843081213,0.000685041635445847,"I(attendance*100)_rdd",FALSE,NA,NA,NA
"8","as.factor(grade)9",5.24957907611867,1.39675928224811,3.75839927669524,0.000171819030989528,"I(attendance*100)_rdd",FALSE,NA,NA,NA
"9","as.factor(year)2018",0.992045745963456,0.677242449773849,1.46483101627006,0.142993374252571,"I(attendance*100)_rdd",FALSE,NA,NA,NA
"10","distance_cutoff:upper_cutoff",1.00932792645734,0.382482994781962,2.6388831404981,0.008328771052735,"I(attendance*100)_rdd",FALSE,NA,NA,NA
"11","(Intercept)",3.38689074045997,0.829313508425232,4.08396909739392,4.45619659414812e-05,"I(singleparent*100)_rdd",FALSE,NA,NA,NA
"12","distance_cutoff",-0.293829076671548,0.173151330419496,-1.69694957560929,0.0897322748755688,"I(singleparent*100)_rdd",FALSE,NA,NA,NA
"13","upper_cutoff",1.18601500760126,0.859663204492862,1.37962751156824,0.167727215188082,"I(singleparent*100)_rdd",FALSE,NA,NA,NA
"14","as.factor(grade)5",0.606649340241836,0.661012707169052,0.917757455586534,0.35876441019896,"I(singleparent*100)_rdd",FALSE,NA,NA,NA
"15","as.factor(grade)6",0.503174690143142,0.665840939512083,0.75569803579795,0.449845179557111,"I(singleparent*100)_rdd",FALSE,NA,NA,NA
"16","as.factor(grade)7",1.29384842756585,0.6831888804434,1.89383706995658,0.0582708045355961,"I(singleparent*100)_rdd",FALSE,NA,NA,NA
"17","as.factor(grade)8",2.4223286907496,0.680292186408703,3.56071808429434,0.00037128128289035,"I(singleparent*100)_rdd",FALSE,NA,NA,NA
"18","as.factor(grade)9",2.60780725374052,0.888768363086848,2.93418101054267,0.00335065984891873,"I(singleparent*100)_rdd",FALSE,NA,NA,NA
"19","as.factor(year)2018",-0.772433071614475,0.430934428822726,-1.7924608013444,0.0730845064874451,"I(singleparent*100)_rdd",FALSE,NA,NA,NA
"20","distance_cutoff:upper_cutoff",0.490276687738655,0.243376786180208,2.01447597132633,0.0439819789710437,"I(singleparent*100)_rdd",FALSE,NA,NA,NA
"21","(Intercept)",-0.0912870853436428,0.312242428910037,-0.292359643954552,0.770016743606462,"I(publicassistance*100)_rdd",FALSE,NA,NA,NA
"22","distance_cutoff",-0.206761026501712,0.0651927062925228,-3.17153617728287,0.00152018904488778,"I(publicassistance*100)_rdd",FALSE,NA,NA,NA
"23","upper_cutoff",0.711085886313027,0.323669305140273,2.19695187347115,0.0280430418828871,"I(publicassistance*100)_rdd",FALSE,NA,NA,NA
"24","as.factor(grade)5",0.0113946032818574,0.248875981314697,0.0457842625940237,0.963482968470695,"I(publicassistance*100)_rdd",FALSE,NA,NA,NA
"25","as.factor(grade)6",0.370581351004487,0.250693845100604,1.47822277350196,0.139374555763221,"I(publicassistance*100)_rdd",FALSE,NA,NA,NA
"26","as.factor(grade)7",0.369047248206891,0.257225468133332,1.43472281685419,0.15139230815427,"I(publicassistance*100)_rdd",FALSE,NA,NA,NA
"27","as.factor(grade)8",0.210486621708917,0.256134842245758,0.821780511637528,0.411218247053473,"I(publicassistance*100)_rdd",FALSE,NA,NA,NA
"28","as.factor(grade)9",1.23278903328932,0.33462760416817,3.68406257563188,0.000230560858893603,"I(publicassistance*100)_rdd",FALSE,NA,NA,NA
"29","as.factor(year)2018",-0.276512869453461,0.162249874612646,-1.7042408822417,0.0883621298076515,"I(publicassistance*100)_rdd",FALSE,NA,NA,NA
"30","distance_cutoff:upper_cutoff",0.192754226951079,0.0916330893988785,2.10354390772553,0.035439129054879,"I(publicassistance*100)_rdd",FALSE,NA,NA,NA
"31","relative_age",0.829593211558708,0.416850394479532,1.9901461592582,0.0465976155997498,"I(attendance*100)_parametric",TRUE,"table24_para",NA,NA
"32","I(relative_age^2)",-0.0750820904235335,0.0364030501824085,-2.06252196031135,0.0391796612737117,"I(attendance*100)_parametric",TRUE,"table24_para",NA,NA
"33","relative_age",0.492934866745391,0.249902497903997,1.97250876193626,0.0485746069641158,"I(singleparent*100)_parametric",TRUE,"table24_para",NA,NA
"34","I(relative_age^2)",-0.0363005773464782,0.0220567770592889,-1.64577885739615,0.0998356323973662,"I(singleparent*100)_parametric",TRUE,"table24_para",NA,NA
"35","relative_age",0.176153068400802,0.0979549920437864,1.79830618864285,0.0721537637359105,"I(publicassistance*100)_parametric",TRUE,"table24_para",NA,NA
"36","I(relative_age^2)",-0.0142166869665625,0.00915838911734735,-1.55231305248147,0.120613855602981,"I(publicassistance*100)_parametric",TRUE,"table24_para",NA,NA
